diff: 0.025,ignore: <eos>,text: test
actual,generated,freq
was,",",7
conceived,EOS,1
a,the,26
method,",",1
of,the,68
always,.,1
or,of,9
substance,",",1
both,of,3
be,the,14
content,the,1
realized,EOS,1
rep.,of,1
have,the,7
liberty,.,1
.,the,24
),",",8
where,",",2
'how,of,1
thing,the,3
freedom,.,1
so,",",1
far,of,1
state,",",4
greatness,EOS,1
!,",",1
in,the,22
affinities,of,1
may,of,8
writers,of,1
coleridge,",",1
ideas,",",1
that,",",7
herself,.,1
is,of,31
conviction,the,1
in,of,15
our,the,3
generation,EOS,1
enthusiastically,the,1
asserted,the,1
EOS,the,40
then,",",4
philosophy,",",2
had,",",2
been,.,3
more,the,4
lightly,of,1
earlier,EOS,1
books,the,1
republic,of,2
now,the,1
fought,EOS,1
is,",",15
appended,the,1
opinion,the,2
stripped,.,1
in,",",14
plato,the,8
mode,and,1
author,.,1
have,of,4
scruple,the,1
known,the,1
friends,EOS,1
there,the,7
general,EOS,1
descriptions,EOS,1
we,EOS,6
as,and,7
need,of,1
anything,.,1
plan,EOS,1
does,the,1
general,of,2
shade,of,1
light,and,2
dark,.,2
veil,.,1
practicable,.,1
first,the,2
writer,and,1
him,and,2
will,and,4
especially,",",1
a,",",20
plato,EOS,1
etc,",",1
principal,of,1
republic,and,2
glaucon,and,1
adeimantus,and,2
patriarch,and,1
appropriately,the,1
engaged,of,1
cephalus,of,1
would,.,1
place,the,2
which,of,6
taken,of,1
part,the,1
violation,of,1
whom,",",4
have,and,4
heard,the,1
according,EOS,1
some,EOS,3
worst,",",1
such,of,1
as,",",5
are,the,9
plato,of,2
morality,EOS,1
speakers,",",1
with,",",2
's,and,1
description,of,1
not,",",10
greatly,.,1
imbecile,the,1
lays,of,1
open,",",1
thrusts,.,1
his,and,2
assailant,the,1
three,EOS,2
when,EOS,2
considered,",",1
without,the,2
consequences,the,1
regarded,and,1
by,",",8
their,of,3
;,",",11
reflection,EOS,1
fourth,and,1
that,of,10
making,the,1
aim,",",1
consequence,of,2
more,",",1
glaucon,the,2
lighter,the,1
book,EOS,1
causes,the,1
good,the,4
with,of,4
resumes,EOS,1
principal,the,1
makes,the,1
some,of,4
false,",",2
course,of,1
once,the,2
;,of,9
glaucon,",",4
as,the,12
political,EOS,1
real,the,2
that,the,13
idea,and,2
conception,.,1
on,the,4
final,",",1
